Timestamp,Your Gender,Your Age,Are you currently....?,What is your annual income?,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,The nearest Starbucks's outlet to you is...?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
5/19/2022 13:07:11,Female,From 20 to 29,Self-employed,"Less than 25,000 PLN",Rarely,Dine in,Between 1 hour to 2 hours,1km - 3km,No,Coffee,Less than 20 PLN,2,3,3,3,3,4,4,Through friends and word of mouth,Yes
5/19/2022 17:35:31,Female,From 20 to 29,Employed,"50,000 - 100,000 PLN",Rarely,Dine in,Below 30 minutes,1km - 3km,No,"Coffee, Sandwiches, Juices",Around 20 - 40 PLN,2,2,5,3,4,4,1,Never,Yes
5/19/2022 17:36:37,Male,From 20 to 29,Student,"Less than 25,000 PLN",Monthly,Dine in,Below 30 minutes,within 1km,No,Coffee,Less than 20 PLN,4,3,5,4,5,4,5,Social Media,Yes
5/19/2022 17:44:07,Female,From 20 to 29,Employed,"50,000 - 100,000 PLN",Monthly,Take away,Between 1 hour to 2 hours,more than 3km,No,Coffee,Around 20 - 40 PLN,5,3,3,4,4,5,4,Social Media,Yes
5/19/2022 17:45:55,Male,From 20 to 29,Employed,"Less than 25,000 PLN",Rarely,Dine in,Below 30 minutes,more than 3km,No,Pastries,Around 20 - 40 PLN,3,3,4,4,4,4,3,In Store displays,Yes
5/19/2022 18:05:55,Female,From 20 to 29,Student,"Less than 25,000 PLN",Weekly,Dine in,Below 30 minutes,within 1km,No,Coffee,Less than 20 PLN,3,4,5,4,4,5,5,"Social Media, Starbucks Website/Apps",Yes
5/19/2022 18:27:39,Female,From 20 to 29,Employed,"100,000 - 150,000 PLN",Weekly,Dine in,Below 30 minutes,1km - 3km,Yes,Coffee,Around 20 - 40 PLN,5,5,5,5,2,5,4,Social Media,Yes
5/19/2022 18:34:04,Female,From 20 to 29,Student,"Less than 25,000 PLN",Never,Dine in,Below 30 minutes,more than 3km,No,Coffee,Zero,1,1,1,1,1,1,1,Through friends and word of mouth,No
5/19/2022 18:52:50,Female,From 20 to 29,Student,"50,000 - 100,000 PLN",Rarely,Dine in,Between 1 hour to 2 hours,1km - 3km,No,"Coffee, Cold drinks",Around 20 - 40 PLN,4,4,5,5,5,5,4,Social Media,Yes
5/19/2022 23:15:40,Male,From 20 to 29,Employed,"50,000 - 100,000 PLN",Weekly,Take away,Between 1 hour to 2 hours,more than 3km,No,Coffee,Less than 20 PLN,3,2,4,5,5,3,4,Application offer,No
5/19/2022 23:16:55,Male,From 20 to 29,Unemployed,"Less than 25,000 PLN",Never,Dine in,Below 30 minutes,more than 3km,No,nothing,Zero,3,2,2,4,4,3,4,Social Media,Yes
5/19/2022 23:17:59,Male,From 20 to 29,Self-employed,"Less than 25,000 PLN",Weekly,Dine in,More than 3 hours,1km - 3km,No,"Coffee, Juices",Around 20 - 40 PLN,4,5,4,5,5,4,5,"Social Media, Through friends and word of mouth",Yes
5/20/2022 1:04:01,Male,From 20 to 29,Student,"25,000 -50,000 PLN",Rarely,Dine in,Below 30 minutes,1km - 3km,No,Coffee,Less than 20 PLN,4,3,5,3,3,4,3,In Store displays,Yes
5/20/2022 1:05:18,Female,From 30 to 39,Employed,"50,000 - 100,000 PLN",Daily,Dine in,Below 30 minutes,more than 3km,Yes,Coffee,Less than 20 PLN,5,5,4,5,3,4,4,Social Media,Yes
5/20/2022 8:56:24,Female,From 20 to 29,Employed,"25,000 -50,000 PLN",Weekly,Dine in,Below 30 minutes,within 1km,No,"Coffee, Pastries, Sandwiches",Less than 20 PLN,3,3,3,3,3,3,3,"Social Media, Through friends and word of mouth",Yes
5/20/2022 8:57:15,Female,From 20 to 29,Employed,"50,000 - 100,000 PLN",Monthly,Dine in,Below 30 minutes,1km - 3km,No,"Coffee, Pastries, Sandwiches",Less than 20 PLN,4,4,4,4,4,4,4,"Social Media, Through friends and word of mouth, Deal sites (fave, iprice, etc...)",Yes
5/20/2022 8:58:13,Female,From 20 to 29,Employed,"50,000 - 100,000 PLN",Daily,Dine in,Between 30 minutes to 1 hour,within 1km,No,"Coffee, Pastries, Sandwiches",Around 20 - 40 PLN,4,3,4,3,4,3,4,"Social Media, Through friends and word of mouth, Deal sites (fave, iprice, etc...)",Yes
5/20/2022 9:10:40,Male,From 20 to 29,Employed,"25,000 -50,000 PLN",Rarely,Dine in,Below 30 minutes,more than 3km,No,Coffee,Less than 20 PLN,5,3,1,5,4,4,4,Social Media,Yes
5/20/2022 9:11:26,Male,From 20 to 29,Employed,"Less than 25,000 PLN",Rarely,Take away,Below 30 minutes,more than 3km,No,"Coffee, Juices",Around 20 - 40 PLN,5,4,3,5,4,5,5,Social Media,Yes
5/20/2022 9:12:02,Male,From 20 to 29,Employed,"50,000 - 100,000 PLN",Rarely,Dine in,Below 30 minutes,more than 3km,No,Coffee,Around 20 - 40 PLN,5,4,3,4,4,4,4,Social Media,Yes
5/20/2022 12:28:56,Male,From 20 to 29,Student,"25,000 -50,000 PLN",Rarely,Dine in,Below 30 minutes,more than 3km,No,Coffee,Less than 20 PLN,3,2,3,4,4,4,3,"Social Media, Through friends and word of mouth, In Store displays",Yes
5/21/2022 14:12:58,Male,From 20 to 29,Self-employed,"Less than 25,000 PLN",Rarely,Take away,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Around 20 - 40 PLN,4,4,4,4,4,4,4,Social Media,Yes
5/21/2022 14:13:08,Male,From 20 to 29,Student,"50,000 - 100,000 PLN",Rarely,"Dine in	",Below 30 minutes,1km - 3km,No,"Coffee, Cold drinks",Around 20 - 40 PLN,4,4,5,5,4,5,3,"Social Media, Through friends and word of mouth, Billboards",Yes
5/21/2022 15:34:00,Female,From 20 to 29,Unemployed,"Less than 25,000 PLN",Never,"Dine in	",Below 30 minutes,more than 3km,No,Çay,Zero,3,3,3,3,3,3,3,Social Media,No
5/21/2022 21:10:44,Female,From 20 to 29,Student,"Less than 25,000 PLN",Rarely,Dine in,Between 1 hour to 2 hours,more than 3km,Yes,"Coffee, Pastries",Around 20 - 40 PLN,5,3,2,5,4,1,3,"Social Media, Billboards",Yes
5/22/2022 9:58:58,Female,From 20 to 29,Student,"25,000 -50,000 PLN",Never,Dine in,Below 30 minutes,within 1km,No,Nothing,Zero,3,3,3,3,3,3,1,Social Media,No
5/22/2022 10:29:40,Female,From 20 to 29,Employed,"Less than 25,000 PLN",Never,Take away,Below 30 minutes,more than 3km,No,Juices,Zero,3,3,3,3,3,3,3,"Social Media, Through friends and word of mouth",Yes
5/22/2022 10:30:21,Female,From 20 to 29,Employed,"25,000 -50,000 PLN",Rarely,Take away,Below 30 minutes,1km - 3km,No,Coffee,Around 20 - 40 PLN,3,3,3,4,4,4,3,"Social Media, Through friends and word of mouth, In Store displays",Yes
5/22/2022 10:43:36,Female,From 30 to 39,Self-employed,"100,000 - 150,000 PLN",Monthly,Take away,Between 30 minutes to 1 hour,more than 3km,No,"Coffee, Pastries, Sandwiches, Juices",Around 20 - 40 PLN,4,3,3,3,4,4,4,"Social Media, Through friends and word of mouth, Starbucks Website/Apps, In Store displays",Yes
5/22/2022 10:56:09,Male,From 20 to 29,Self-employed,"More than 150,000 PLN",Rarely,Dine in,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Around 20 - 40 PLN,4,1,3,5,4,5,4,Through friends and word of mouth,Yes
5/22/2022 10:56:52,Female,From 30 to 39,Employed,"25,000 -50,000 PLN",Weekly,Take away,Between 30 minutes to 1 hour,1km - 3km,No,"Coffee, Pastries, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,4,"Social Media, Through friends and word of mouth, Starbucks Website/Apps",Yes
5/22/2022 10:57:48,Male,From 20 to 29,Student,"Less than 25,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Cold drinks, Pastries, Sandwiches, Juices",More than 40 PLN,5,5,5,5,5,5,5,"Social Media, Starbucks Website/Apps",Yes
5/22/2022 10:58:33,Female,Below 20,Unemployed,"Less than 25,000 PLN",Daily,Dine in,Between 1 hour to 2 hours,1km - 3km,No,"Coffee, Sandwiches",More than 40 PLN,4,3,4,3,4,3,4,"Social Media, Through friends and word of mouth, Starbucks Website/Apps, In Store displays",Yes
5/22/2022 10:59:24,Male,40 and above,Self-employed,"50,000 - 100,000 PLN",Daily,Take away,Below 30 minutes,within 1km,Yes,Coffee,Around 20 - 40 PLN,5,4,5,4,5,4,5,"Starbucks Website/Apps, Emails",Yes
5/22/2022 11:00:08,Female,40 and above,Employed,"50,000 - 100,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,4,"Starbucks Website/Apps, Emails, Billboards",Yes
5/22/2022 11:00:55,Female,Below 20,Student,"Less than 25,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,1km - 3km,No,"Cold drinks, Pastries, Sandwiches",Around 20 - 40 PLN,4,5,4,5,4,5,4,"Social Media, Through friends and word of mouth",Yes
5/22/2022 11:05:07,Female,From 30 to 39,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Less than 20 PLN,4,4,4,4,4,4,4,Emails,Yes
5/22/2022 11:05:47,Male,From 20 to 29,Student,"Less than 25,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,4,4,4,5,3,5,"Deal sites (fave, iprice, etc...)",Yes
5/22/2022 11:07:35,Female,Below 20,Unemployed,"25,000 -50,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,1km - 3km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,5,Social Media,Yes
5/22/2022 11:08:36,Female,From 20 to 29,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,5,3,5,3,5,3,"Starbucks Website/Apps, In Store displays",Yes
5/22/2022 11:09:49,Male,From 20 to 29,Student,"Less than 25,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,1km - 3km,No,"Cold drinks, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:10:36,Female,From 30 to 39,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:11:40,Male,From 30 to 39,Employed,"50,000 - 100,000 PLN",Daily,Take away,Below 30 minutes,1km - 3km,Yes,"Coffee, Pastries",Around 20 - 40 PLN,5,5,3,4,3,5,3,Through friends and word of mouth,Yes
5/22/2022 11:13:27,Male,From 30 to 39,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Less than 20 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:14:02,Female,From 30 to 39,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:14:33,Female,From 20 to 29,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,1km - 3km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:15:08,Male,From 20 to 29,Employed,"25,000 -50,000 PLN",Daily,Dine in,Below 30 minutes,1km - 3km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:15:43,Female,From 30 to 39,Employed,"25,000 -50,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,1km - 3km,No,"Cold drinks, Sandwiches, Juices",Around 20 - 40 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:16:22,Female,From 20 to 29,Student,"Less than 25,000 PLN",Weekly,Take away,Between 1 hour to 2 hours,1km - 3km,No,"Coffee, Cold drinks, Pastries, Sandwiches",Around 20 - 40 PLN,5,5,5,5,5,5,5,"Social Media, Through friends and word of mouth, Emails, Billboards",Yes
5/22/2022 11:17:08,Female,From 20 to 29,Student,"25,000 -50,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,1km - 3km,Yes,"Cold drinks, Sandwiches",Around 20 - 40 PLN,5,4,5,4,5,4,4,"Social Media, Through friends and word of mouth, In Store displays, Emails",Yes
5/22/2022 11:21:20,Female,40 and above,Employed,"50,000 - 100,000 PLN",Monthly,Take away,Below 30 minutes,more than 3km,No,"Coffee, Pastries",Around 20 - 40 PLN,3,3,3,4,4,3,3,Social Media,Yes
5/22/2022 11:38:32,Female,From 20 to 29,Employed,"Less than 25,000 PLN",Never,Take away,Below 30 minutes,more than 3km,No,I don’t go to Starbucks,Zero,5,5,5,5,5,5,5,Social Media,No
5/22/2022 11:45:44,Female,From 30 to 39,Student,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,5,5,5,5,5,5,5,"In Store displays, Emails",Yes
5/22/2022 11:53:39,Female,40 and above,Employed,"Less than 25,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,within 1km,Yes,"Coffee, Sandwiches",Around 20 - 40 PLN,5,4,5,4,5,4,5,In Store displays,Yes
5/22/2022 11:54:20,Male,From 30 to 39,Self-employed,"Less than 25,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,5,5,5,5,5,5,5,In Store displays,Yes
5/22/2022 11:55:20,Male,From 20 to 29,Student,"Less than 25,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,Coffee,Less than 20 PLN,4,4,4,4,4,4,4,In Store displays,Yes
5/22/2022 11:55:50,Female,From 30 to 39,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,Coffee,Less than 20 PLN,5,5,4,4,5,4,4,In Store displays,Yes
5/22/2022 11:56:30,Male,From 30 to 39,Student,"25,000 -50,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,1km - 3km,No,Sandwiches,Less than 20 PLN,5,3,5,3,5,3,5,In Store displays,Yes
5/22/2022 11:57:05,Female,From 20 to 29,Student,"Less than 25,000 PLN",Weekly,Take away,Between 30 minutes to 1 hour,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,5,4,5,4,5,4,In Store displays,Yes
5/22/2022 11:57:47,Male,From 20 to 29,Student,"Less than 25,000 PLN",Weekly,Dine in,Between 30 minutes to 1 hour,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,5,4,5,4,5,4,"Social Media, Through friends and word of mouth, Starbucks Website/Apps, In Store displays",Yes
5/22/2022 11:58:11,Male,From 20 to 29,Unemployed,"Less than 25,000 PLN",Never,Take away,Below 30 minutes,more than 3km,No,"Coffee, Only latte",Zero,3,3,5,4,4,5,2,Through friends and word of mouth,No
5/22/2022 11:58:22,Female,40 and above,Employed,"25,000 -50,000 PLN",Daily,Take away,Below 30 minutes,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,4,5,4,5,4,5,4,"Through friends and word of mouth, Starbucks Website/Apps, In Store displays, Emails",Yes
5/22/2022 11:59:03,Female,40 and above,Unemployed,"Less than 25,000 PLN",Weekly,Dine in,Between 1 hour to 2 hours,within 1km,No,"Coffee, Sandwiches",Around 20 - 40 PLN,5,4,5,4,5,4,5,In Store displays,Yes
5/22/2022 11:59:42,Female,From 20 to 29,Unemployed,"Less than 25,000 PLN",Weekly,Take away,Between 30 minutes to 1 hour,within 1km,Yes,Sandwiches,Around 20 - 40 PLN,5,5,3,5,4,5,5,In Store displays,Yes
5/22/2022 12:00:17,Male,From 30 to 39,Employed,"Less than 25,000 PLN",Daily,Take away,Below 30 minutes,within 1km,Yes,"Coffee, Cold drinks, Pastries, Sandwiches, Juices",Around 20 - 40 PLN,4,5,4,5,4,5,4,"Starbucks Website/Apps, In Store displays, Emails, Billboards",Yes
5/22/2022 12:10:38,Male,From 20 to 29,Employed,"Less than 25,000 PLN",Rarely,Dine in,Below 30 minutes,within 1km,No,Coffee,Less than 20 PLN,4,3,4,4,4,5,4,Social Media,Yes
5/22/2022 12:33:27,Male,From 20 to 29,Student,"Less than 25,000 PLN",Never,Dine in,Below 30 minutes,within 1km,No,Coffee,Zero,1,1,1,1,1,1,1,Social Media,No
5/22/2022 13:01:37,Male,From 20 to 29,Employed,"25,000 -50,000 PLN",Weekly,Take away,Below 30 minutes,1km - 3km,No,"Coffee, Pastries",Less than 20 PLN,3,3,2,3,4,4,3,"Social Media, Emails",Yes
5/22/2022 13:04:07,Female,From 20 to 29,Student,"Less than 25,000 PLN",Never,Take away,Below 30 minutes,1km - 3km,No,Coffee,Less than 20 PLN,5,3,3,3,4,4,4,Through friends and word of mouth,Yes
5/22/2022 13:06:13,Female,From 20 to 29,Employed,"25,000 -50,000 PLN",Monthly,Take away,Below 30 minutes,within 1km,Yes,Cold drinks,Around 20 - 40 PLN,2,1,5,4,5,3,1,Application offer,No
5/22/2022 13:12:04,Female,From 20 to 29,Student,"Less than 25,000 PLN",Rarely,Take away,Below 30 minutes,within 1km,Yes,Coffee,Around 20 - 40 PLN,3,4,5,3,3,4,3,Social Media,Yes
5/22/2022 13:27:52,Female,From 20 to 29,Student,"Less than 25,000 PLN",Never,Take away,Below 30 minutes,within 1km,No,Coffee,Less than 20 PLN,4,4,5,5,2,4,2,Social Media,Yes
5/22/2022 14:09:13,Female,From 20 to 29,Student,"50,000 - 100,000 PLN",Rarely,Dine in,Between 30 minutes to 1 hour,1km - 3km,No,Cold drinks,Around 20 - 40 PLN,4,4,4,5,4,4,4,"Social Media, Through friends and word of mouth",Yes
5/22/2022 14:36:58,Male,From 30 to 39,Unemployed,"25,000 -50,000 PLN",Weekly,Take away,Between 1 hour to 2 hours,more than 3km,Yes,Cold drinks,Around 20 - 40 PLN,4,3,4,4,4,4,4,Starbucks Website/Apps,Yes
